S.No,State/UT,Single Lane - Accident - 2014,Single Lane - Accident - 2014 per 1L people,Single Lane - Killed - 2014,Single Lane - Killed - 2014 per 1L people,Single Lane - Injured - 2014,Single Lane - Injured - 2014 per 1L people,Two Lanes - Accident - 2014,Two Lanes - Accident - 2014 per 1L people,Two Lanes - Killed - 2014,Two Lanes - Killed - 2014 per 1L people,Two Lanes - Injured - 2014,Two Lanes - Injured - 2014 per 1L people,3 Lanes or more w.o Median - Accident - 2014,3 Lanes or more w.o Median - Accident - 2014 per 1L people,3 Lanes or more w.o Median - Killed - 2014,3 Lanes or more w.o Median - Killed - 2014 per 1L people,3 Lanes or more w.o Median - Injured - 2014,3 Lanes or more w.o Median - Injured - 2014 per 1L people,4 Lanes with Median - Accident - 2014,4 Lanes with Median - Accident - 2014 per 1L people,4 Lanes with Median - Killed - 2014,4 Lanes with Median - Killed - 2014 per 1L people,4 Lanes with Median - Injured - 2014,4 Lanes with Median - Injured - 2014 per 1L people,Population,"Acc. on Lane(1,2,3,4)/1 lakh people","Injured on Lane(1,2,3,4)/1 lakh people","killed on Lane(1,2,3,4)/1 lakh people","Acc., injur,kill on single lane/1 lakh","Acc., injur,kill on double lane/1 lakh","Acc., injur,kill on three lane/1 lakh","Acc., injur,kill on four lane/1 lakh","Total (injur,kill,acc.)/I L"
1,Andhra Pradesh,8634,16.4737501,2958,5.643890756,13541,25.83635048,10327,19.70400941,2994,5.712579082,10122,19.31286756,1188,2.266714746,396,0.755571582,1199,2.287702845,4291,8.187266814,1560,2.976494111,5069,9.671697851,52410653,46.63,57.11,15.09,47.95,44.73,5.31,20.84,118.83
2,Arunachal Pradesh,90,6.50417315,60,4.336115433,152,10.98482576,115,8.310887914,59,4.263846843,156,11.27390013,0,0,0,0,0,0,0,0,0,0,0,0,1383727,14.82,22.26,8.60,21.83,23.85,0.00,0.00,45.67
3,Assam,3888,12.45931176,1217,3.899944036,3195,10.2385548,2432,7.79347896,1035,3.316714936,2510,8.043434289,56,0.179455108,25,0.080113887,42,0.134591331,768,2.461098619,245,0.785116096,752,2.409825731,31205576,22.89,20.83,8.08,26.60,19.15,0.39,5.66,51.80
4,Bihar,3731,3.584072662,1815,1.743525028,2475,2.37753413,4156,3.992336098,2096,2.013459206,3092,2.970236577,756,0.726228607,390,0.374641742,485,0.465900627,913,0.877045923,612,0.587899348,588,0.564844472,104099452,9.18,6.38,4.72,7.71,8.98,1.57,2.03,20.28
5,Chhattisgarh,7961,31.16436991,2244,8.784429856,7762,30.38535853,4696,18.38310277,1524,5.965896213,4661,18.24609071,0,0,0,0,0,0,1164,4.556629391,254,0.994316035,734,2.873338465,25545198,54.10,51.50,15.74,70.33,42.60,0.00,8.42,121.35
6,Goa,2523,172.9806074,187,12.82099627,1091,74.8005718,1706,116.9658804,103,7.061832168,788,54.02644416,0,0,0,0,0,0,0,0,0,0,0,0,1458545,289.95,128.83,19.88,260.60,178.05,0.00,0.00,438.66
7,Gujarat,10978,18.16356046,3101,5.130734286,10673,17.6589252,7475,12.36770035,2669,4.415972206,7101,11.7489017,642,1.06221587,248,0.41032638,526,0.870289015,4617,7.639019736,1937,3.204847569,4193,6.93749399,60439692,39.23,37.22,13.16,40.95,28.53,2.34,17.78,89.61
8,Haryana,4090,16.13319185,1565,6.173213995,3485,13.74674171,3420,13.49034624,1451,5.723535787,2875,11.34056884,722,2.847961983,340,1.341145532,390,1.538372817,2444,9.64046965,1127,4.445502985,2194,8.654333229,25351462,42.11,35.28,17.68,36.05,30.55,5.73,22.74,95.08
9,Himachal Pradesh,1183,17.23333705,528,7.691633106,2322,33.82570468,1875,27.31403802,671,9.774783738,3254,47.40260251,0,0,0,0,0,0,0,0,0,0,0,0,6864602,44.55,81.23,17.47,58.75,84.49,0.00,0.00,143.24
10,Jammu & Kashmir,3761,29.98891184,548,4.369562267,4129,32.92321643,1935,15.42902005,419,3.340960931,3654,29.13573088,112,0.893049222,21,0.167446729,202,1.610678062,53,0.42260365,4,0.031894615,58,0.462471919,12541302,46.73,64.13,7.91,67.28,47.91,2.67,0.92,118.78
11,Jharkhand,2449,7.423881569,1051,3.185994091,2004,6.074911664,2257,6.841854104,1180,3.577043794,1894,5.741458429,32,0.097004577,20,0.060627861,24,0.072753433,447,1.355032691,377,1.142835178,434,1.315624582,32988134,15.72,13.20,7.97,16.68,16.16,0.23,3.81,36.89
12,Karnataka,26467,43.32084677,5804,9.499912898,35558,58.20087919,13854,22.67604984,3982,6.517686623,18573,30.40004863,1404,2.298049226,383,0.626889497,897,1.468198117,1988,3.25393295,283,0.463210777,1803,2.951127318,61095297,71.55,93.02,17.11,111.02,59.59,4.39,6.67,181.68
13,Kerala,7340,21.9720607,1137,3.40357398,7900,23.6484032,27411,82.05397218,2738,8.196117465,31497,94.28528554,882,2.640239446,82,0.245464438,1008,3.01741651,649,1.942761225,92,0.275399126,691,2.068486913,33406061,108.61,123.02,12.12,49.02,184.54,5.90,4.29,243.75
14,Madhya Pradesh,28501,39.24308446,4423,6.090037633,29281,40.31706804,21828,30.05501729,3600,4.956847271,22501,30.98167235,232,0.319441269,36,0.049568473,210,0.289149424,2911,4.008161779,510,0.70222003,3343,4.602983452,72626809,73.63,76.19,11.80,85.65,65.99,0.66,9.31,161.62
15,Maharashtra,23235,20.67642973,5312,4.727058091,17123,15.2374653,22838,20.32314621,4725,4.204696815,14726,13.10441593,6707,5.968444769,776,0.690549149,2946,2.621595093,8847,7.872794226,1990,1.770867018,5660,5.036737348,112374333,54.84,36.00,11.39,40.64,37.63,9.28,14.68,102.23
16,Manipur,423,14.81199274,89,3.116471286,762,26.68259685,312,10.92515777,76,2.661256379,520,18.20859628,6,0.210099188,1,0.035016531,11,0.385181844,2,0.070033063,2,0.070033063,2,0.070033063,2855794,26.02,45.35,5.88,44.61,31.80,0.63,0.21,77.25
17,Meghalaya,308,10.38124446,81,2.730132472,126,4.246872734,234,7.887049364,60,2.02232035,185,6.235487745,0,0,0,0,0,0,0,0,0,0,0,0,2966889,18.27,10.48,4.75,17.36,16.14,0.00,0.00,33.50
18,Mizoram,57,5.195013516,45,4.10132646,124,11.30143291,75,6.8355441,58,5.286154104,110,10.02546468,0,0,0,0,0,0,0,0,0,0,0,0,1097206,12.03,21.33,9.39,20.60,22.15,0.00,0.00,42.74
19,Nagaland,305,15.4157034,81,4.094006476,230,11.62495666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1978502,15.42,11.62,4.09,31.13,0.00,0.00,0.00,31.13
