Sl. No,States/UTs,Fault of Driver-Total No. of Road Accidents - 2014,Fault of Driver-Total No. of Road Accidents - 2014 per 1L people,Fault of Driver-Number of Persons-Killed - 2014,Fault of Driver-Number of Persons-Killed - 2014 per 1L people,Fault of Driver-Number of Persons-Injured - 2014,Fault of Driver-Number of Persons-Injured - 2014 per 1L people,Fault of Driver of other vehicles-Total No. of Road Accidents - 2014,Fault of Driver of other vehicles-Total No. of Road Accidents - 2014 per 1L people,Fault of Driver of other vehicles-Number of Persons-Killed - 2014,Fault of Driver of other vehicles-Number of Persons-Killed - 2014 per 1L people,Fault of Driver of other vehicles-Number of Persons-Injured - 2014,Fault of Driver of other vehicles-Number of Persons-Injured - 2014 per 1L people,Fault of Pedestrian-Total No. of Road Accidents - 2014,Fault of Pedestrian-Total No. of Road Accidents - 2014 per 1L people,Fault of Pedestrian-Number of Persons-Killed - 2014,Fault of Pedestrian-Number of Persons-Killed - 2014 per 1L people,Fault of Pedestrian-Number of Persons-Injured - 2014,Fault of Pedestrian-Number of Persons-Injured - 2014 per 1L people,Defect in Condition of Motor Vehicle-Total No. of Road Accidents - 2014,Defect in Condition of Motor Vehicle-Total No. of Road Accidents - 2014 per 1L people,Defect in Condition of Motor Vehicle-Number of Persons-Killed - 2014,Defect in Condition of Motor Vehicle-Number of Persons-Killed - 2014 per 1L people,Defect in Condition of Motor Vehicle-Number of Persons-Injured - 2014,Defect in Condition of Motor Vehicle-Number of Persons-Injured - 2014 per 1L people,Defect in Road Condition-Total No. of Road Accidents - 2014,Defect in Road Condition-Total No. of Road Accidents - 2014 per 1L people,Defect in Road Condition-Number of Persons-Killed - 2014,Defect in Road Condition-Number of Persons-Killed - 2014 per 1L people,Defect in Road Condition-Number of Persons-Injured - 2014,Defect in Road Condition-Number of Persons-Injured - 2014 per 1L people,Weather Condition-Total No. of Road Accidents - 2014,Weather Condition-Total No. of Road Accidents - 2014 per 1L people,Weather Condition-Number of Persons-Killed - 2014,Weather Condition-Number of Persons-Killed - 2014 per 1L people,Weather Condition-Number of Persons-Injured - 2014,Weather Condition-Number of Persons-Injured - 2014 per 1L people,Fault of Passenger-Total No. of Road Accidents - 2014,Fault of Passenger-Total No. of Road Accidents - 2014 per 1L people,Fault of Passenger-Number of Persons-Killed - 2014,Fault of Passenger-Number of Persons-Killed - 2014 per 1L people,Fault of Passenger-Number of Persons-Injured - 2014,Fault of Passenger-Number of Persons-Injured - 2014 per 1L people,Poor light-Total No. of Road Accidents - 2014,Poor light-Total No. of Road Accidents - 2014 per 1L people,Poor light-Number of Persons-Killed - 2014,Poor light-Number of Persons-Killed - 2014 per 1L people,Poor light-Number of Persons-Injured - 2014,Poor light-Number of Persons-Injured - 2014 per 1L people,Falling of boulders-Total No. of Road Accidents - 2014,Falling of boulders-Total No. of Road Accidents - 2014 per 1L people,Falling of boulders-Number of Persons-Killed - 2014,Falling of boulders-Number of Persons-Killed - 2014 per 1L people,Falling of boulders-Number of Persons-Injured - 2014,Falling of boulders-Number of Persons-Injured - 2014 per 1L people,Other causes/causes not known-Total No. of Road Accidents - 2014,Other causes/causes not known-Total No. of Road Accidents - 2014 per 1L people,Other causes/causes not known-Number of Persons-Killed - 2014,Other causes/causes not known-Number of Persons-Killed - 2014 per 1L people,Other causes/causes not known-Number of Persons-Injured - 2014,Other causes/causes not known-Number of Persons-Injured - 2014 per 1L people,Population,No. of  killed for each diff. reason/1 L,No. of  injur for each diff. reason/1 L,No. of Acc. for each diff. reason/1 L,"Total(Acc.,Injur,death)/1L due to falt of driver","Total(Acc.,Injur,death)/1L due to falt of other driver","Total(Acc.,Injur,death)/1L due to falt of other Padest.","Total(Acc.,Injur,death)/1L due to defect in vehicles","Total(Acc.,Injur,death)/1L due to defect in road condition","Total(Acc.,Injur,death)/1L due to weather condition"
1,Andhra Pradesh,21359,40.7531652,6743,12.86570499,26287,50.15583378,288,0.549506605,75,0.143100678,425,0.810903844,234,0.446474117,104,0.198432941,160,0.305281447,67,0.127836606,26,0.049608235,85,0.162180769,285,0.543782578,192,0.366337737,442,0.843339998,60,0.114480543,19,0.036252172,70,0.133560633,68,0.129744615,18,0.034344163,133,0.253765203,191,0.364429728,76,0.145008687,310,0.591482804,6,0.011448054,1,0.001908009,12,0.022896109,1530,2.919253839,545,1.03986493,1617,3.085250626,52410653,14.88,56.36,45.96,103.77,1.50,0.95,0.34,1.75,0.28
2,Arunachal Pradesh,30,2.168057717,19,1.373103221,30,2.168057717,20,1.445371811,14,1.011760268,45,3.252086575,0,0,0,0,0,0,17,1.228566039,8,0.578148724,22,1.589908992,15,1.084028858,9,0.650417315,29,2.095789126,23,1.662177583,13,0.939491677,25,1.806714764,11,0.794954496,4,0.289074362,27,1.951251945,34,2.457132079,21,1.517640402,33,2.384863488,0,0,0,0,0,0,34,2.457132079,22,1.589908992,54,3.90250389,1383727,7.95,19.15,13.30,5.71,5.71,0.00,3.40,3.83,4.41
3,Assam,6895,22.09541013,2429,7.783865294,6281,20.12781305,2,0.006409111,1,0.003204555,1,0.003204555,144,0.461455991,53,0.169841441,129,0.413387659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0.137795886,10,0.032045555,35,0.112159442,31205576,7.99,20.66,22.70,50.01,0.01,1.04,0.00,0.00,0.00
4,Bihar,5008,4.81078421,2646,2.541800124,3374,3.241131375,608,0.584056869,254,0.243997442,395,0.379444841,286,0.274737277,144,0.138329258,233,0.223824425,541,0.519695339,302,0.290107195,355,0.341020047,446,0.428436453,252,0.242076202,282,0.270894798,409,0.392893519,210,0.201730169,306,0.293949674,393,0.377523601,153,0.146974837,311,0.298752773,329,0.316043931,168,0.161384135,229,0.219981946,82,0.078770828,44,0.042267273,58,0.055715951,960,0.922195056,528,0.507207281,745,0.715661788,104099452,4.52,6.04,8.71,10.59,1.21,0.64,1.15,0.94,0.89
5,Chhattisgarh,9108,35.65445059,2458,9.622160689,8710,34.09642783,726,2.842021424,253,0.990401405,665,2.60322899,146,0.571535989,41,0.160499832,139,0.544133578,672,2.630631401,229,0.896450284,489,1.9142541,440,1.722437227,142,0.555877469,381,1.491474053,212,0.829901573,60,0.234877804,206,0.806413793,286,1.119584197,65,0.254450954,304,1.190047538,352,1.377949781,90,0.352316705,436,1.706778707,26,0.101780382,7,0.02740241,38,0.148755942,1552,6.075505854,555,2.172619684,1421,5.562689316,25545198,15.27,50.06,52.93,79.37,6.44,1.28,5.44,3.77,1.87
6,Goa,3795,260.1908066,247,16.93468491,1650,113.1264376,0,0,0,0,0,0,175,11.99825854,29,1.988282844,86,5.896287053,17,1.165545115,0,0,13,0.891299206,1,0.068561477,0,0,0,0,1,0.068561477,0,0,0,0,0,0,0,0,0,0,3,0.205684432,0,0,0,0,0,0,0,0,0,0,143,9.804291263,6,0.411368864,83,5.690602621,1458545,19.33,125.60,283.50,390.25,0.00,19.88,2.06,0.07,0.07
7,Gujarat,18945,31.34529541,6635,10.9778852,18256,30.20531607,450,0.744543834,170,0.281272115,516,0.853743596,1512,2.501667282,405,0.67008945,1311,2.169104369,161,0.266381238,60,0.099272511,164,0.271344864,203,0.335871996,32,0.052945339,107,0.177035978,194,0.320981119,43,0.0711453,241,0.398744587,134,0.221708608,43,0.0711453,137,0.226672234,154,0.254799445,44,0.072799842,150,0.248181278,3,0.004963626,2,0.003309084,0,0,1328,2.197231581,375,0.620453195,932,1.542033007,60439692,12.92,36.09,38.19,72.53,1.88,5.34,0.64,0.57,0.79
8,Haryana,8208,32.37683097,3186,12.56732255,7633,30.1087172,456,1.798712832,210,0.828354594,202,0.796798228,348,1.372701898,140,0.552236396,193,0.761297317,165,0.650850038,107,0.422066388,96,0.378676386,141,0.556180941,74,0.291896381,56,0.220894558,127,0.500957302,75,0.295840926,68,0.268229106,154,0.607460035,97,0.382620931,80,0.315563655,132,0.52068003,79,0.311619109,82,0.323452746,130,0.512790939,80,0.315563655,56,0.220894558,525,2.070886484,286,1.128140065,315,1.24253189,25351462,17.10,34.64,40.97,75.05,3.42,2.69,1.45,1.07,1.07
9,Himachal Pradesh,2936,42.77014166,1148,16.72347501,5326,77.58643546,22,0.320484713,3,0.043702461,30,0.437024608,0,0,0,0,0,0,74,1.077994034,37,0.538997017,156,2.272527963,25,0.364187174,11,0.160242356,63,0.917751677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6864602,17.47,81.21,44.53,137.08,0.80,0.00,3.89,1.44,0.00
10,Jammu & Kashmir,3614,28.81678473,561,4.473219766,4088,32.59629662,380,3.029988433,62,0.494366534,937,7.471313585,223,1.778124791,35,0.279077882,133,1.060495952,341,2.719015936,38,0.302998843,193,1.538915178,113,0.901022876,11,0.087710191,128,1.020627683,20,0.159473075,2,0.015947308,36,0.287051536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880,7.016815319,196,1.562836139,1701,13.56318507,12541302,7.22,57.54,44.42,65.89,11.00,3.12,4.56,2.01,0.46
