Sl. No.,States/UTs,Two-Wheelers - Number of Road Accidents - Fatal - 2014,Two-Wheelers - Number of Road Accidents - Fatal - 2014 per 1L people,Two-Wheelers - Number of Road Accidents - Total - 2014,Two-Wheelers - Number of Road Accidents - Total - 2014 per 1L people,Two-Wheelers - Number of Persons - Killed - 2014,Two-Wheelers - Number of Persons - Killed - 2014 per 1L people,Two-Wheelers - Number of Persons - Injured - 2014,Two-Wheelers - Number of Persons - Injured - 2014 per 1L people,Auto-Rickshaws - Number of Road Accidents - Fatal - 2014,Auto-Rickshaws - Number of Road Accidents - Fatal - 2014 per 1L people,Auto-Rickshaws - Number of Road Accidents - Total - 2014,Auto-Rickshaws - Number of Road Accidents - Total - 2014 per 1L people,Auto-Rickshaws - Number of Persons - Killed - 2014,Auto-Rickshaws - Number of Persons - Killed - 2014 per 1L people,Auto-Rickshaws - Number of Persons - Injured - 2014,Auto-Rickshaws - Number of Persons - Injured - 2014 per 1L people,"Cars, Jeeps,Taxis - Number of Road Accidents - Fatal - 2014","Cars, Jeeps,Taxis - Number of Road Accidents - Fatal - 2014 per 1L people","Cars, Jeeps,Taxis - Number of Road Accidents - Total - 2014","Cars, Jeeps,Taxis - Number of Road Accidents - Total - 2014 per 1L people","Cars, Jeeps,Taxis - Number of Persons - Killed - 2014","Cars, Jeeps,Taxis - Number of Persons - Killed - 2014 per 1L people","Cars, Jeeps,Taxis - Number of Persons - Injured - 2014","Cars, Jeeps,Taxis - Number of Persons - Injured - 2014 per 1L people",Buses - Number of Road Accidents - Fatal - 2014,Buses - Number of Road Accidents - Fatal - 2014 per 1L people,Buses - Number of Road Accidents - Total - 2014,Buses - Number of Road Accidents - Total - 2014 per 1L people,Buses - Number of Persons - Killed - 2014,Buses - Number of Persons - Killed - 2014 per 1L people,Buses - Number of Persons - Injured - 2014,Buses - Number of Persons - Injured - 2014 per 1L people,"Trucks, Tempos,MAVs,Tractors - Number of Road Accidents - Fatal - 2014","Trucks, Tempos,MAVs,Tractors - Number of Road Accidents - Fatal - 2014 per 1L people","Trucks, Tempos,MAVs,Tractors - Number of Road Accidents - Total - 2014","Trucks, Tempos,MAVs,Tractors - Number of Road Accidents - Total - 2014 per 1L people","Trucks, Tempos,MAVs,Tractors - Number of Persons - Killed - 2014","Trucks, Tempos,MAVs,Tractors - Number of Persons - Killed - 2014 per 1L people","Trucks, Tempos,MAVs,Tractors - Number of Persons - Injured - 2014","Trucks, Tempos,MAVs,Tractors - Number of Persons - Injured - 2014 per 1L people",Other Motor Vehicles - Number of Road Accidents - Fatal - 2014,Other Motor Vehicles - Number of Road Accidents - Fatal - 2014 per 1L people,Other Motor Vehicles - Number of Road Accidents - Total - 2014,Other Motor Vehicles - Number of Road Accidents - Total - 2014 per 1L people,Other Motor Vehicles - Number of Persons - Killed - 2014,Other Motor Vehicles - Number of Persons - Killed - 2014 per 1L people,Other Motor Vehicles - Number of Persons - Injured - 2014,Other Motor Vehicles - Number of Persons - Injured - 2014 per 1L people,Other Vehicles/Objects - Number of Road Accidents - Fatal - 2014,Other Vehicles/Objects - Number of Road Accidents - Fatal - 2014 per 1L people,Other Vehicles/Objects - Number of Road Accidents - Total - 2014,Other Vehicles/Objects - Number of Road Accidents - Total - 2014 per 1L people,Other Vehicles/Objects - Number of Persons - Killed - 2014,Other Vehicles/Objects - Number of Persons - Killed - 2014 per 1L people,Other Vehicles/Objects - Number of Persons - Injured - 2014,Other Vehicles/Objects - Number of Persons - Injured - 2014 per 1L people,Population,No. of total Acc. For each vehicle/1L people,No. of total killed for each vehicle/1L people," total Acc.,fatal Acc., killed & injured for each state/1L people"
1,Andhra Pradesh,1961,3.741605738,7239,13.81207748,2003,3.821742118,7333,13.99143033,950,1.812608593,4442,8.47537618,977,1.864124837,7173,13.68614888,889,1.696220041,3853,7.351558852,911,1.73819624,5429,10.35858111,550,1.049404975,1732,3.304671667,567,1.081841129,2242,4.27775628,1701,3.245523386,4324,8.250231112,1758,3.354279902,5144,9.81479853,760,1.450086875,1571,2.99748221,808,1.541671309,1321,2.520479949,466,0.889132215,1279,2.440343569,884,1.686679996,1289,2.45942366,52410653,44.19,15.09,132.71
2,Arunachal Pradesh,15,1.084028858,34,2.457132079,21,1.517640402,30,2.168057717,7,0.505880134,17,1.228566039,7,0.505880134,36,2.60166926,17,1.228566039,42,3.035280803,25,1.806714764,72,5.20333852,5,0.361342953,15,1.084028858,7,0.505880134,27,1.951251945,21,1.517640402,42,3.035280803,26,1.878983354,85,6.142830197,0,0,0,0,0,0,0,0,27,1.951251945,55,3.97477248,33,2.384863488,58,4.191578252,1383727,10.84,8.6,52.32
3,Assam,489,1.567027636,1508,4.832469684,537,1.7208463,1342,4.300513472,65,0.208296107,292,0.935730204,75,0.240341662,296,0.948548426,475,1.522163859,1612,5.165743456,533,1.708028078,1422,4.556877912,176,0.564001767,628,2.01246085,246,0.788320651,788,2.525189729,517,1.65675519,1766,5.659245002,637,2.041301849,1538,4.928606349,374,1.198503755,1089,3.489760932,401,1.285026753,895,2.868077167,73,0.233932551,249,0.797934318,93,0.298023661,218,0.698593098,31205576,22.1,8.08,58.75
4,Bihar,769,0.738716665,1750,1.681084738,820,0.787708277,1131,1.086461051,126,0.121038101,354,0.340059427,144,0.138329258,326,0.313162071,726,0.697410011,1490,1.431323577,786,0.755047202,1077,1.034587579,478,0.459176288,961,0.923155676,543,0.521616579,680,0.653221498,1521,1.461102792,2828,2.716632937,1639,1.574455935,1818,1.746406888,271,0.260327979,596,0.572529431,291,0.279540376,443,0.425554594,614,0.589820588,1577,1.514897504,690,0.662827697,1165,1.119122126,104099452,7.66,4.72,24.61
5,Chhattisgarh,1074,4.204312685,4787,18.7393341,1126,4.407873448,4295,16.81333611,31,0.121353532,311,1.217449949,37,0.144841312,296,1.158730498,469,1.835961499,2978,11.65776832,648,2.536680279,3159,12.36631636,148,0.579365249,675,2.642375291,189,0.739865081,1330,5.206457981,940,3.679752257,2907,11.37982959,1082,4.235629726,2448,9.583014389,766,2.998606627,1648,6.45131034,786,3.076899228,1191,4.662324402,142,0.555877469,515,2.016034481,154,0.602853029,438,1.714607967,25545198,52.09,15.74,135.33
6,Goa,130,8.912992057,1907,130.7467373,134,9.187237967,838,57.45451803,2,0.137122955,34,2.33109023,2,0.137122955,17,1.165545115,60,4.113688642,1374,94.2034699,63,4.319373074,533,36.54326743,23,1.576913979,354,24.27076299,23,1.576913979,277,18.99152923,33,2.262528753,315,21.59686537,33,2.262528753,105,7.198955123,0,0,3,0.205684432,0,0,0,0,35,2.399651708,242,16.59187752,35,2.399651708,109,7.473201033,1458545,273.35,19.88,458.06
7,Gujarat,1535,2.539721744,5562,9.202561787,1689,2.79452119,5123,8.476217913,507,0.83885272,2186,3.616828491,596,0.986106944,2641,4.369645034,1165,1.927541259,4415,7.304802281,1369,2.265067797,4620,7.643983361,364,0.602253235,1165,1.927541259,438,0.724689332,1372,2.270031422,1873,3.098956891,5458,9.030489434,2081,3.443101596,4450,7.362711246,702,1.161488381,1763,2.916957287,793,1.312051689,1725,2.854084697,917,1.517214879,3163,5.233315881,989,1.636341893,2562,4.238936228,60439692,34,13.16,101.30
8,Haryana,300,1.183363705,1131,4.461281168,318,1.254365527,1370,5.404027586,129,0.508846393,405,1.597541002,180,0.710018223,250,0.986136421,898,3.542202024,2647,10.44121242,989,3.901155681,2281,8.997508704,315,1.24253189,644,2.54028742,330,1.301700076,617,2.433784687,1288,5.08057484,2934,11.57329704,1353,5.33697031,2432,9.593135102,597,2.354893773,1271,5.013517564,605,2.386450138,1424,5.617033053,687,2.709902884,1644,6.484833104,708,2.792738344,570,2.24839104,25351462,35.63,17.68,111.70
9,Himachal Pradesh,165,2.403635346,814,11.85793437,169,2.461905293,1083,15.77658836,230,3.350521997,797,11.61028709,303,4.413948544,1314,19.14167784,204,2.971767336,664,9.67281133,444,6.467964202,1984,28.90189409,109,1.587856077,409,5.958102159,126,1.835503355,584,8.507412374,123,1.791800894,373,5.43367263,157,2.28709545,610,8.886167035,0,0,0,0,0,0,0,0,0,0,1,0.014567487,0,0,1,0.014567487,6864602,44.53,17.47,155.35
10,Jammu & Kashmir,226,1.802045753,1101,8.778992803,256,2.041255366,709,5.653320524,10,0.079736538,64,0.510313841,15,0.119604807,174,1.387415756,140,1.116311528,725,5.780898985,170,1.355521141,769,6.131739751,98,0.78141807,1590,12.6781095,105,0.837233646,1519,12.11198008,204,1.62662537,1364,10.87606375,222,1.770151137,1473,11.74519201,198,1.578783447,951,7.582944737,215,1.714335561,2949,23.51430497,10,0.079736538,66,0.526261149,9,0.071762884,450,3.588144197,12541302,46.21,7.91,125.84
11,Jharkhand,538,1.630889459,1190,3.607357724,607,1.840055579,892,2.704002597,117,0.354672986,251,0.760879654,129,0.391049703,245,0.742691296,318,0.963982989,776,2.352361004,397,1.203463039,715,2.167446028,208,0.630529754,592,1.794584683,271,0.821507515,692,2.097723988,705,2.137132097,1575,4.774444047,826,2.503930656,1290,3.910497029,170,0.515336818,374,1.133740999,194,0.588090251,256,0.77603662,203,0.615372788,443,1.342907119,204,0.618404181,266,0.80635055,32988134,14.42,7.97,43.79
12,Karnataka,2473,4.047774741,10752,17.59873596,3040,4.975833083,13930,22.80044567,361,0.590880179,2613,4.276924949,441,0.721823154,4172,6.828676191,1430,2.340605693,7661,12.53942673,1538,2.517378711,10676,17.47434013,861,1.409273778,3849,6.299993926,1039,1.700621899,4868,7.967880081,2229,3.648398665,8238,13.48385294,2691,4.40459435,11508,18.83614708,1172,1.918314596,5540,9.067801078,907,1.484565989,7342,12.01729161,959,1.569678923,5060,8.282143223,796,1.30288261,4335,7.095472504,61095297,63.27,17.11,197.20
13,Kerala,951,2.846788791,12113,36.25988709,963,2.882710416,11787,35.28401627,251,0.751360659,5037,15.07810214,265,0.793269221,5782,17.30823637,1000,2.99346876,8718,26.09706065,1065,3.188044229,10257,30.70400907,743,2.224147289,4843,14.4973692,821,2.457637852,7055,21.1189221,585,1.751179225,3934,11.7763061,629,1.88289185,4534,13.57238736,293,0.877086347,1637,4.90030836,306,0.916001441,1681,5.032020986,0,0,0,0,0,0,0,0,33406061,108.61,12.12,255.19
14,Madhya Pradesh,2024,2.786849688,19688,27.10844696,2255,3.104914055,18754,25.82242048,152,0.209289107,2045,2.81576463,187,0.257480678,2878,3.962724013,1278,1.759680781,11269,15.51630886,1578,2.172751387,11622,16.00235527,580,0.798603171,3361,4.627767688,695,0.956946904,5604,7.716158919,2483,3.418847715,11243,15.48050941,2832,3.89938652,11407,15.70632134,890,1.225442798,5085,7.00154677,959,1.320449037,4472,6.157505832,147,0.202404597,781,1.075360477,63,0.086744827,598,0.823387408,72626809,72.55,11.8,172.02
15,Maharashtra,3715,3.305915062,14089,12.53756051,4068,3.620043734,11310,10.06457587,523,0.465408769,3326,2.959750604,624,0.555286944,3410,3.03450077,1786,1.589330902,18398,16.37206603,2014,1.792224208,8533,7.593370988,432,0.384429423,4409,3.923493811,477,0.424474155,3143,2.796902029,2440,2.171314334,10841,9.647220776,2540,2.260302626,7014,6.241638827,1487,1.323255908,7155,6.367112319,1491,1.326815439,3957,3.521266729,1145,1.018915948,3409,3.033610887,1589,1.414023966,3088,2.747958468,112374333,51.81,11.39,112.49
16,Manipur,33,1.155545533,201,7.038322792,33,1.155545533,323,11.31033961,5,0.175082657,42,1.470694315,5,0.175082657,87,3.046438223,26,0.910429814,178,6.232942572,30,1.050495939,323,11.31033961,8,0.28013225,38,1.33062819,10,0.350165313,112,3.921851506,38,1.33062819,127,4.447099476,50,1.750826565,224,7.843703012,39,1.365644721,157,5.497595415,40,1.400661252,226,7.913736075,0,0,0,0,0,0,0,0,2855794,26.02,5.88,82.46
17,Meghalaya,14,0.471874748,45,1.516740262,14,0.471874748,25,0.842633479,8,0.269642713,27,0.910044157,8,0.269642713,15,0.505580087,36,1.21339221,110,3.707587308,38,1.280802888,66,2.224552385,5,0.168526696,52,1.752677636,11,0.370758731,39,1.314508227,33,1.112276192,77,2.595311115,34,1.145981531,33,1.112276192,14,0.471874748,167,5.62879164,16,0.539285427,95,3.20200722,17,0.572990766,64,2.157141706,20,0.674106783,38,1.280802888,2966889,16.11,4.75,37.78
